BSBE,BT101,I,D1,L2,Monday
BSBE,BT101,II,D1,L3,Monday
BSBE,BT101,III,D,L2,Monday
BSBE,BT101,IV,D,L3,Monday
BSBE,BT101,I,D1,L2,Thursday
BSBE,BT101,II,D1,L3,Thursday
BSBE,BT101,III,D,L2,Thursday
BSBE,BT101,IV,D,L3,Thursday
BSBE,BT101,I,D1,L2,Friday
BSBE,BT101,II,D1,L3,Friday
BSBE,BT101,III,D,L2,Friday
BSBE,BT101,IV,D,L3,Friday
BSBE,BT202,NA,A,4102,Tuesday
BSBE,BT202,NA,A,4102,Wednesday
BSBE,BT202,NA,A,4102,Thursday
BSBE,BT205,NA,C,4102,Friday
BSBE,BT205,NA,C,4102,Monday
BSBE,BT205,NA,C,4102,Tuesday
BSBE,BT205,NA,C,4107,Friday
BSBE,BT205,NA,C,4107,Monday
BSBE,BT205,NA,C,4107,Tuesday
BSBE,BT208,NA,D,4102,Monday
BSBE,BT208,NA,D,4102,Wednesday
BSBE,BT208,NA,D,4102,Thursday
BSBE,BT208,NA,D,4102,Friday
BSBE,BT302,NA,A1,4207,Monday
BSBE,BT302,NA,A1,4207,Tuesday
BSBE,BT302,NA,A1,4207,Wednesday
BSBE,BT302,NA,A1,4207,Thursday
BSBE,BT305,NA,D1,4207,Thursday
BSBE,BT305,NA,D1,4207,Friday
BSBE,BT305,NA,D1,4207,Monday
BSBE,BT306,NA,E1,4207,Wednesday
BSBE,BT306,NA,E1,4207,Thursday
BSBE,BT306,NA,E1,4207,Friday
BSBE,BT308,NA,C1,4207,Monday
BSBE,BT308,NA,C1,4207,Tuesday
BSBE,BT308,NA,C1,4207,Friday
BSBE,BT401,NA,E,4207,Wednesday
BSBE,BT401,NA,E,4207,Thursday
BSBE,BT401,NA,E,4207,Friday
BSBE,BT502,NA,E,4210,Wednesday
BSBE,BT502,NA,E,4210,Thursday
BSBE,BT502,NA,E,4210,Friday
BSBE,BT504,NA,A,4210,Tuesday
BSBE,BT504,NA,A,4210,Wednesday
BSBE,BT504,NA,A,4210,Thursday
BSBE,BT601,NA,B1,4210,Monday
BSBE,BT601,NA,B1,4210,Tuesday
BSBE,BT601,NA,B1,4210,Wednesday
BSBE,BT604,NA,B,4210,Monday
BSBE,BT604,NA,B,4210,Tuesday
BSBE,BT604,NA,B,4210,Wednesday
